fullname,Papers,Cites,H-Index,HM-Index,First,Last
Fiifi Amoako Johnson,1,8,1,1,2012,2012
Elina K. Einiö,1,8,1,1,2016,2016
Farzana Afridi,1,17,1,1,2010,2010
András Gábos,1,13,1,1,2009,2009
Ying Hong,1,14,1,1,2006,2006
Frederik Peters,1,7,1,1,2016,2016
Allen Daley,1,4,1,1,1964,1964
Nandita Saikia,1,29,1,1,2011,2011
Robert Ross,1,20,1,1,1975,1975
Ralph H. Faulkingham,1,18,1,1,1975,1975
Michael C. Kimmitt,1,37,1,1,2008,2008
Dora Kostova,1,26,1,1,2008,2008
Lotta Vikström,1,11,1,1,2015,2015
Roland Rau,1,3,1,1,2018,2018
Larry H. Long,1,67,1,1,1992,1992
Alexander L. Clark,1,37,1,1,1964,1964
I. Th Papavassiliou,1,2,1,1,1954,1954
June L. Sklar,1,52,1,1,1974,1974
Paul Wallin,1,37,1,1,1964,1964
Kenya Valéria Micaela De Souza Noronha,1,28,1,1,2009,2009
Malena Monteverde,1,28,1,1,2009,2009
Carlo Giovanni Camarda,1,7,1,1,2019,2019
J. E. Goldthorpe,1,4,1,1,1952,1952
F. G. Davidson,1,4,1,1,1951,1951
K. L. Gillion,1,7,1,1,1956,1956
Siddharth Chandra,1,14,1,1,2013,2013
Rachael S. Pierotti,1,8,1,1,2016,2016
Ridhi Kashyap,1,6,1,1,2019,2019
Li Liu,1,12,1,1,2008,2008
Jacques Doublet,1,4,1,1,1948,1948
Sabine Zinn,1,14,1,1,2017,2017
Peter C. Smith,1,10,1,1,1982,1982
Solveig Argeseanu Cunningham,1,18,1,1,2010,2010
David Canning,1,20,1,1,2011,2011
Monique Borgerhoff Mulder,1,44,1,1,1989,1989
Gerry B. Rodgers,1,312,1,1,1979,1979
David E. Sahn,1,5,1,1,2015,2015
Christopher J.L. Murray,1,76,1,1,2003,2003
Huang Cheng,1,23,1,1,2009,2009
Shigesato Takahashi,1,5,1,1,1995,1995
Ellen Eliason Kisker,1,112,1,1,1986,1986
John B. Post,1,35,1,1,1971,1971
Renato Martins Assun&#231;&#227;o,1,11,1,1,2013,2013
Naomi Williams,1,64,1,1,1995,1995
Alain Monnier,1,40,1,1,1989,1989
Edward P. Hutchinson,1,3,1,1,1959,1959
James J. Brown,1,3,1,1,2010,2010
Erich Striessnig,1,12,1,1,2015,2015
Edward Ng,1,25,1,1,2014,2014
Xiana Bueno,1,2,1,1,2019,2019
Bruno Masquelier,1,24,1,1,2014,2014
Marta Styrc,1,50,1,1,2014,2014
Jingyuan Yu,1,59,1,1,1987,1987
Duolao Wang,1,15,1,1,2001,2001
Bo Wang,1,29,1,1,2006,2006
Yao Lu,1,28,1,1,2010,2010
Liz Middleton,1,16,1,1,1998,1998
Hongbin Li,1,5,1,1,2015,2015
George George C. Kephart,1,5,1,1,1989,1989
Christopher M. Langford,1,9,1,1,1981,1981
Lisa D. Pearce,1,3,1,1,2015,2015
Tommy E. Murphy,1,25,1,1,2013,2013
Robert E. Jones,1,4,1,1,1998,1998
Wei-Min Zhang,1,23,1,1,1990,1990
Eunice Cooper,1,7,1,1,1951,1951
Felix C. Tropf,1,16,1,1,2015,2015
Nicola Shelton,1,18,1,1,2001,2001
Kari L. White,1,4,1,1,2013,2013
Lauren K. Bachan,1,7,1,1,2017,2017
P. M. George,1,14,1,1,1974,1974
Patrick Festy,1,3,1,1,1973,1973
Jacques P.G. Janssen,1,102,1,1,2005,2005
Ronald Kwon,1,2,1,1,2017,2017
Jan Kok,1,5,1,1,2016,2016
G. Littman,1,33,1,1,1979,1979
Marcus William Feldman,1,10,1,1,2003,2003
Sarah Jarvis,1,88,1,1,1999,1999
R. Herr,1,22,1,1,1968,1968
Miao David Chunyu,1,9,1,1,2013,2013
Stephen K. Happel,1,85,1,1,1984,1984
Bidhubhusan Mahapatra,1,42,1,1,2012,2012
Weixiang Luo,1,14,1,1,2014,2014
G. Schmidt,1,2,1,1,1975,1975
Charles H. Wood,1,42,1,1,2004,2004
T. L F Devis,1,3,1,1,1973,1973
Sarah Zureick,1,26,1,1,2012,2012
Hugh Davies,1,28,1,1,2000,2000
Rossarin Soottipong Gray,1,37,1,1,1999,1999
David Thomas,1,17,1,1,1972,1972
Michael J. Wintle,1,10,1,1,1992,1992
Steven P. Martin,1,3,1,1,2015,2015
Jason Hilton,1,3,1,1,2017,2017
Woojin Chung,1,67,1,1,1998,1998
Jonathan Haughton,1,18,1,1,1997,1997
Katherine M. Michelmore,1,15,1,1,2014,2014
Katherine Keenan,1,6,1,1,2014,2014
Takudzwa S. Sayi,1,59,1,1,2012,2012
Mohammad Ataharul Islam,1,5,1,1,1998,1998
Antônio Márcio Tavares Thomé,1,23,1,1,1984,1984
John C. Brown,1,55,1,1,2002,2002
J. M. Martin,1,2,1,1,1977,1977
Francisco Rowe,1,9,1,1,2018,2018
J. H A Hillebrand,1,19,1,1,1986,1986
J. T. Marshall,1,9,1,1,1947,1947
Bojuan Barbara Zhao,1,6,1,1,2012,2012
Travis St.Clair,1,16,1,1,2013,2013
Rajib Acharya,1,62,1,1,2006,2006
Gunnar Malmberg,1,10,1,1,2018,2018
John R. Bryant,1,19,1,1,2016,2016
Liudmila Torgasheva,1,8,1,1,2013,2013
Shamsa Q.S. Ahmed,1,113,1,1,1974,1974
David Levine,1,13,1,1,1976,1976
Arusyak Sevoyan,1,48,1,1,2010,2010
Geraldine B. Terry,1,10,1,1,1975,1975
Bunsong Lee,1,31,1,1,1984,1984
Allan G. Hill,1,7,1,1,1978,1978
A. Ghosh,1,3,1,1,1956,1956
C. J. Duncan,1,16,1,1,2000,2000
Daniel Christoph Schneider,1,6,1,1,2018,2018
Abhishek Singh,1,42,1,1,2012,2012
Annalisa Donno,1,6,1,1,2017,2017
Aurora Angeli,1,6,1,1,2017,2017
Jesús J. Sánchez,1,3,1,1,1998,1998
Truong Si Anh,1,52,1,1,2000,2000
Wendy Sigle,1,9,1,1,1999,1999
Mats Lillehagen,1,5,1,1,2018,2018
Ugofilippo Basellini,1,7,1,1,2019,2019
Lucia Zanotto,1,4,1,1,2018,2018
H. C. Brookfield,1,4,1,1,1957,1957
D. Narayanan Namboothiri,1,3,1,1,1969,1969
Christopher Scott,1,7,1,1,1970,1970
Qiong Zhang,1,11,1,1,2015,2015
Michelle Hindin,1,23,1,1,2009,2009
Susan B. Schaffnit,1,4,1,1,2017,2017
Caterina Hill,1,75,1,1,2007,2007
Paul E. Vincent,1,9,1,1,1947,1947
W. L. Marr,1,3,1,1,1977,1977
I. Shah,1,25,1,1,1982,1982
Jennifer Lauby,1,143,1,1,1988,1988
Camila Strobl Sakamoto,1,4,1,1,2016,2016
Pieter H.M. Van Baal,1,7,1,1,2016,2016
Jianke Li,1,21,1,1,2001,2001
Jonathan Gray,1,3,1,1,2017,2017
Yu Wentao,1,24,1,1,2000,2000
Arpita Chattopadhyay,1,52,1,1,2006,2006
Moni Nag,1,3,1,1,1973,1973
G. Rodriguez,1,4,1,1,1981,1981
Toni Richards,1,29,1,1,1977,1977
Wendy Post,1,40,1,1,1997,1997
D. C. Downing,1,6,1,1,1979,1979
Michael G. Kenward,1,6,1,1,2014,2014
Catriona A. Towriss,1,4,1,1,2018,2018
James N. Gribble,1,31,1,1,1993,1993
Seppo Väinö Pellervo Koskinen,1,86,1,1,2005,2005
Raymond Firth,1,19,1,1,1957,1957
S. Mahmud,1,9,1,1,1980,1980
Christine Schnor,1,11,1,1,2017,2017
Jonathan K. Daw,1,13,1,1,2011,2011
Harro Bernardelli,1,4,1,1,1952,1952
Johan Pieter Mackenbach,1,7,1,1,2016,2016
Niina Metsä-Simola,1,8,1,1,2013,2013
Paul A. Compton,1,19,1,1,1985,1985
Hsien Hen Lu,1,732,1,1,2000,2000
Nicole Hiekel,1,8,1,1,2015,2015
David Reed,1,10,1,1,1974,1974
Richard Wall,1,45,1,1,1989,1989
Jing Li,1,29,1,1,2006,2006
Nicoletta Balbo,1,28,1,1,2011,2011
Tom Wilson,1,2,1,1,2016,2016
Heather H. Gatny,1,60,1,1,2013,2013
Caroline Sten Hartnett,1,20,1,1,2014,2014
Vladimir Batagelj,1,7,1,1,2015,2015
Anne B. Wils,1,9,1,1,1991,1991
Bruce K. Caldwell,1,14,1,1,2003,2003
Nathalie E. Williams,1,16,1,1,2013,2013
Ana M. Ferrer,1,23,1,1,2014,2014
Robert McCaa,1,19,1,1,1989,1989
Margaret Frye,1,7,1,1,2017,2017
Gerhard Baumert,1,16,1,1,1959,1959
Hui Sheng Lin,1,5,1,1,1973,1973
J. Byrne,1,28,1,1,1966,1966
Yves Charbit,1,4,1,1,1981,1981
Mark Gross,1,15,1,1,2017,2017
Earl E. Huyck,1,2,1,1,1962,1962
Josiah Cox Russell,1,4,1,1,1948,1948
Prithwis Das Gupta,1,3,1,1,1971,1971
Hukum Chandra,1,8,1,1,2012,2012
Nicola Barban,1,16,1,1,2015,2015
Bilkis Vissandjée,1,25,1,1,2014,2014
V. Arbon,1,36,1,1,1978,1978
P. Cartwright,1,36,1,1,1978,1978
Marwan K. Khawaja,1,38,1,1,2000,2000
Lambert H. Lumey,1,19,1,1,2013,2013
C. Janna Harrell,1,8,1,1,2015,2015
Erika Kobayashi,1,47,1,1,2006,2006
Mary C. Brinton,1,2,1,1,2019,2019
Roberta Torre,1,25,1,1,2014,2014
B. L. Agrawal,1,4,1,1,1969,1969
Sara L. Thomas,1,99,1,1,2006,2006
Pavel Grigoriev,1,12,1,1,2013,2013
Nick Parr,1,6,1,1,2016,2016
Nicholas N. Dodge,1,15,1,1,1980,1980
Joseph Molitoris,1,18,1,1,2017,2017
S. J. Malik,2,9,1,1,2008,2008
Paul A. Samuelson,2,37,1,1,1976,1976
Edward Higgins,2,1,1,1,1962,1962
B. G. Zimmer,2,5,1,1,1981,1981
Arthur H.O. van Soest,2,19,2,1,2011,2014
James W.B. Douglas,2,11,2,1,1949,1951
Henri Bunle,2,1,1,1,1950,1950
S. W. Caffin,2,1,1,1,1952,1957
Peter J. Lloyd,2,10,1,1,1967,1969
J. Richard Udry,2,7,2,1,1973,1979
Amit Kumar Bhattacharyya,2,10,1,1,1975,1975
Sharon Stanton Russell,2,9,1,1,2008,2008
M. A. El-Badry,2,8,1,1,1971,1986
Julia A. Ericksen,2,35,1,1,1979,1980
K. R. Gabriel,2,4,1,1,1953,1958
Jerry W. Combs,2,3,1,1,1951,1951
Mortimer Spiegelman,2,11,1,1,1948,1950
John S. Akin,2,32,2,1,1986,1988
Zuzanna Brzozowska,2,23,2,1,2016,2018
Michael J. Levin,2,16,1,1,2013,2016
Ann Klimas Blanc,2,35,2,1,2017,2019
Takwing Chan,2,10,1,1,2015,2019
James Maxwell,2,12,1,1,1949,1950
Christiaan W.S. Monden,2,7,2,1,2010,2018
B. Kuate Defo,2,20,1,1,1992,2006
Paul W. Stupp,2,22,1,1,1985,2011
Kogalur G. Basavarajappa,2,12,1,1,1963,1971
Alvin T. Onaka,2,8,2,1,1972,1973
William F. Stinner,2,2,1,1,1975,1975
Kène Henkens,2,66,1,1,2013,2020
Sanna L. Read,2,38,1,1,2011,2020
Jason M. Fletcher,2,2,1,1,2019,2019
James Raymer,2,2,1,1,2018,2020
W. A B Hopkin,2,4,1,1,1947,1947
Rafael Blanquero,2,5,2,1,2012,2016
Jim E. Oeppen,2,40,2,1,1993,2019
Sam Shapiro,2,27,1,1,1950,1954
Kingsley Davis,2,3,1,1,1951,1951
Giorgio Mortara,2,1,1,1,1950,1954
Tommy Bengtsson,2,112,2,1,2000,2017
Barry Michael Popkin,2,32,2,1,1986,1988
Elwood D. Carlson,2,18,1,1,1979,2010
Adrian E. Raftery,2,7,1,1,2016,2018
José Alberto Magno De Carvalho,2,8,1,1,1974,1974
George C. Myers,2,16,2,1,1962,1966
Jakub Bijak,3,24,2,1,2016,2017
K. Srinivasan,2,10,1,1,1967,1971
Myriam Khlat,2,17,2,1,1989,1997
Stephen Enke,3,1,1,1,1970,1971
Anna Klabunde,3,25,2,1,2017,2017
Alan T. Peacock,3,6,1,1,1952,1957
J. R.H. Shaul,3,6,2,1,1948,1951
Govert E. Bijwaard,3,12,2,1,2013,2019
C. A L Myburgh,3,8,2,1,1948,1956
Sabu S. Padmadas,3,11,2,1,2010,2020
J. R.L. Schneider,2,1,1,1,1954,1956
Samuel J. Clark,3,52,2,1,1995,2018
G. Edward Ebanks,3,16,1,1,1970,1974
Allan Puur,3,22,2,1,2016,2020
Monica J. Grant,3,26,2,1,2012,2020
Hannaliis Jaadla,3,20,2,1,2016,2020
H. Silcock,4,18,1,1,1952,1959
E. Grebenik,5,10,1,1,1970,1991
L. T. Badenhorst,6,3,1,1,1950,1963
Alfred Sauvy,2,17,1,1,1948,1951
Georges Reniers,2,24,1,1,2014,2020
Kryštof Zeman,2,23,2,1,2016,2018
Donald W. Snyder,2,1,1,1,1974,1975
Véronique Hertrich,2,14,1,1,2012,2020
Dudley Kirk,2,348,2,1,1974,1996
Douglas A. Norris,2,10,1,1,1975,1975
Ursula M. Cowgill,2,5,1,1,1967,1968
Guido Pinto Aguirre,2,29,2,1,1996,1998
Paul Douglas Mader,2,2,1,1,1975,1975
Danielle Gauvreau,2,19,1,1,2017,2018
Mark R. Montgomery,2,113,2,1,1988,1993
Saw Swee-Hock,2,1,1,1,1964,1966
Arjuun L. Adlakha,2,12,2,1,1968,1974
Roger C. Avery,2,33,1,1,1981,1982
Jan M. Saarela,2,18,2,1,2005,2018
Silvia Bermúdez,2,5,2,1,2012,2016
Robert M. Jiobu,2,20,1,1,1977,1979
Howard I. Goldberg,2,24,1,1,1984,2011
Unnati Rani Saha,2,19,2,1,2011,2014
Julie E. Backer,2,4,1,1,1947,1948
Douglas J. Nichols,2,9,2,1,1978,1982
Visid Prachuabmoh,2,4,1,1,1974,1974
George Stephan Masnick,2,47,2,1,1969,1971
Anders Brändström,1,26,1,1,2005,2005
Mahbubuddin Ahmad,2,10,1,1,1975,1975
D. A. Percival,1,1,1,1,1949,1949
Ruth Glass,1,4,1,1,1951,1951
Kimberly Singer Babiarz,1,11,1,1,2015,2015
Ameed M. Saabneh,1,1,1,1,2019,2019
Mariachiara Di Cesare,1,18,1,1,2012,2012
Ethan Jennings Sharygin,1,17,1,1,2013,2013
Cicely Marston,1,106,1,1,2003,2003
Dean L. May,1,36,1,1,1978,1978
André Grow,1,11,1,1,2017,2017
Harry Sharp,1,7,1,1,1954,1954
Luciana Quaranta,1,4,1,1,2017,2017
Encarnacion Aracil,1,27,1,1,2010,2010
David Goldberg,1,35,1,1,1959,1959
Quanbao Jiang,1,26,1,1,2015,2015
Marie Lesclingand,1,14,1,1,2012,2012
David Henley,1,11,1,1,2006,2006
Ludmila Fialová,1,22,1,1,1990,1990
Hongwei Xu,1,22,1,1,2010,2010
José Antonio Ortega,1,4,1,1,2000,2000
Grant Miller,1,11,1,1,2015,2015
Róbert Iván Gál,1,13,1,1,2009,2009
Mathias Lerch,1,4,1,1,2018,2018
Pierre Cantrelle,1,90,1,1,1971,1971
Tan Boon Ann,1,3,1,1,1973,1973
Abraham Akkerman,1,11,1,1,1980,1980
Kathleen Kahn,1,34,1,1,2002,2002
Osea Giuntella,1,6,1,1,2019,2019
M. W. Beaver,1,62,1,1,1973,1973
William A. Lessa,1,3,1,1,1962,1962
Dimitrios V. Trichopoulos,1,9,1,1,1965,1965
Colter M. Mitchell,1,14,1,1,2012,2012
Fabian F. Drixler,1,5,1,1,2016,2016
Katharine J. McCarthy,1,3,1,1,2019,2019
Arkadiusz Wiśniowski,1,2,1,1,2018,2018
James J. Anderson,1,8,1,1,2015,2015
Stefan Öberg,1,6,1,1,2015,2015
John G. Cleland,1,3,1,1,2020,2020
Duncan Thomas,1,37,1,1,2005,2005
Stanislao Mazzoni,1,18,1,1,2017,2017
Paul Schulz,1,9,1,1,2017,2017
Marcus Blake,1,34,1,1,2000,2000
Julia A. Jennings,1,4,1,1,2017,2017
Sofi Ohlsson-Wijk,1,33,1,1,2011,2011
Kazuyo MacHiyama,1,3,1,1,2020,2020
R. H. Gray,2,37,1,1,1974,1975
Anna Baranowska-Rataj,2,10,1,1,2017,2020
Zsolt Spéder,2,89,1,1,2006,2020
P. M. Kulkarni,2,5,2,1,1976,1977
Peter K. Newman,2,10,1,1,1969,1969
E. J M Buckatzsch,2,19,1,1,1947,1951
Ismail A. Sirageldin,2,10,1,1,1975,1975
Heini Väisänen,2,10,1,1,2015,2020
Sook Bang,2,6,1,1,1965,1966
Ingrid K. van Dijk,2,7,2,1,2019,2020
James M. Sakoda,2,9,2,1,1967,1972
Glenn Sandström,2,17,2,1,2015,2018
Thomas Spoorenberg,2,7,1,1,2014,2019
Alice Goisis,2,6,1,1,2018,2019
Wolf Scott,2,2,1,1,1957,1958
Youpoh Seng,2,4,1,1,1949,1959
Nyovani J. Madise,2,64,2,1,1999,2012
Heidi A. Hanson,2,26,2,1,2015,2017
Juho Härkönen,2,60,1,1,2008,2020
David Leon,2,20,2,1,2011,2014
Zoë Matthews,2,64,2,1,1999,2012
Marie Guirlène Calixte,1,92,1,1,2006,2006
Leslie Corsa,2,3,1,1,1973,1978
Hongyan Liu,1,36,1,1,2007,2007
Sagri Singh,1,62,1,1,2006,2006
Fengyu Zhang,1,34,1,1,2004,2004
Sojung Lim,1,8,1,1,2013,2013
T. James Trussell,2,5,1,1,1980,1981
Shiva Halli,2,64,1,1,1997,1999
C. Chandrasekaran,2,4,1,1,1971,1972
Milly Marston,2,75,1,1,2007,2020
Miloslav Macura,2,10,1,1,1974,2004
Clyde V. Kiser,2,33,2,1,1953,1956
Richard Leete,2,21,2,1,1986,1987
Daniel Alan Seiver,2,11,1,1,1975,1977
Laura Daniel Staetsky,2,4,1,1,2011,2019
Alessandro Rosina,2,4,2,1,2006,2010
Ken Robert Smith,2,26,2,1,2015,2017
Li Bohua,2,26,2,1,1988,2010
Augustine O. Okore,2,6,1,1,1980,1982
Frank W. Notestein,2,9,1,1,1947,1949
Marshall C. Balfour,1,3,1,1,1961,1961
Patience Lauriat,1,4,1,1,1955,1955
Nata?a Kej?ar,1,7,1,1,2015,2015
T. O. Ling,1,11,1,1,1969,1969
Paul D. Norman,1,6,1,1,2014,2014
Juris Krūmiņš,1,15,1,1,1992,1992
Sheila Mitchell,1,5,1,1,1959,1959
William A. Morrison,1,2,1,1,1961,1961
Christina J. Cross,1,12,1,1,2018,2018
Cecilia Potente,1,4,1,1,2018,2018
T. Ferguson,1,2,1,1,1964,1964
Joel T. Rosenthal,1,9,1,1,1973,1973
C. M. Law,1,11,1,1,1969,1969
Cui Hongyan,1,12,1,1,2010,2010
Vegard F. Skirbekk,1,3,1,1,2012,2012
Edward Gross,1,3,1,1,1954,1954
Wilbur Zelinsky,1,3,1,1,1950,1950
Guang Guo,1,24,1,1,1993,1993
Kenneth Smith,1,3,1,1,1952,1952
Peter J. Glick,1,5,1,1,2015,2015
Jorge Rodríguez-Vignoli,1,9,1,1,2018,2018
J. Y. Peng,1,10,1,1,1963,1963
Y. L. Lee,1,3,1,1,1962,1962
Chantal Melser,1,2,1,1,2013,2013
Oliver Reinhardt,1,9,1,1,2017,2017
Yingchun Ji,1,3,1,1,2015,2015
Elena Dolkigh,1,16,1,1,1996,1996
Christopher Handy,1,5,1,1,2015,2015
Joshua A. Salomon,1,76,1,1,2003,2003
Marc Luy,1,16,1,1,2011,2011
J. William Leasure,1,31,1,1,1963,1963
Laura A. Kelly,1,3,1,1,2016,2016
C. J. Robertson,1,1,1,1,1950,1950
Marcus Ebeling,1,3,1,1,2018,2018
Tina Hannemann,1,3,1,1,2019,2019
David Shapiro,1,14,1,1,1996,1996
Albert Mayer,1,5,1,1,1955,1955
Yuzo Morita,1,6,1,1,1963,1963
Jianghong Li,1,21,1,1,2001,2001
I. M. Cumpston,1,10,1,1,1956,1956
F. van Heek,1,38,1,1,1956,1956
Osamu Saito,1,22,1,1,1996,1996
Allan M. Cartter,1,3,1,1,1953,1953
O. Wolowyna,1,3,1,1,1977,1977
C. T E Quensel,1,5,1,1,1958,1958
Susannah Brown,1,4,1,1,1968,1968
Walter R. Gilks,1,11,1,1,1986,1986
S. P. Brown,1,3,1,1,1951,1951
C. M. Langford,1,11,1,1,1991,1991
Earl W. Morris,1,13,1,1,1966,1966
Joel B. Greenhouse,1,52,1,1,1994,1994
Kathleen Ford,1,58,1,1,1987,1987
Gwendolyn Z. Johnson,1,15,1,1,1964,1964
Beryl J. Roberts,1,15,1,1,1965,1965
Sara E. Yeatman,1,22,1,1,2012,2012
J. G. Cleland,1,83,1,1,1984,1984
A. Muthiah,1,4,1,1,1983,1983
Chialin Pan,1,4,1,1,1949,1949
G. B. Rodgers,1,3,1,1,1976,1976
Clyde E. Martin,1,3,1,1,1957,1957
Patricio Vela,1,45,1,1,1971,1971
Ladislav T. Ruzicka,1,19,1,1,1976,1976
Colin Clark,1,7,1,1,1949,1949
Chihang Chiang,1,1,1,1,1949,1949
C. W. Smith,1,21,1,1,1983,1983
L. W. Jones,1,2,1,1,1967,1967
W. Scott,1,1,1,1,1955,1955
T. E. Smith,1,28,1,1,1960,1960
A. L. Levine,1,3,1,1,1965,1965
Stan J. Bernstein,1,24,1,1,1980,1980
A. Meredith John,1,12,1,1,1988,1988
Jesús Adrián Alvarez,1,4,1,1,2020,2020
A. H. Walkden,1,3,1,1,1961,1961
W. J L Ryan,1,1,1,1,1955,1955
W. B. Arthurt,1,4,1,1,1983,1983
Martin Bolte,1,16,1,1,1959,1959
A. J. Jaffe,1,2,1,1,1947,1947
J. A. Banks,1,15,1,1,1954,1954
David A. May,1,26,1,1,1968,1968
J. Durbin,1,2,1,1,1955,1955
M. K. Hopkins,1,81,1,1,1965,1965
Julian Blackburn,1,4,1,1,1947,1947
E. G. Jacoby,1,3,1,1,1958,1958
S. N. Mehrotra,1,11,1,1,1949,1949
F. H Amphlett Micklewright,1,9,1,1,1961,1961
Sigismund Feller,1,26,1,1,1948,1948
S. H. Cousens,1,25,1,1,1960,1960
Kumudini Dandekar,1,2,1,1,1963,1963
A. Meijide Pardo,1,22,1,1,1968,1968
Elizabeth Lessof,1,2,1,1,1949,1949
A. J. Youngson,1,2,1,1,1961,1961
Sven Moberg,1,4,1,1,1950,1950
Ilana Ronen,1,4,1,1,1958,1958
Chihsien Tuan,1,13,1,1,1958,1958
L. Labrada,1,22,1,1,1968,1968
G. Ohlin,1,37,1,1,1961,1961
Hugh H. Wolfenden,1,1,1,1,1962,1962
Kåre Ofstad,1,3,1,1,1949,1949
Neil L. Tranter,1,11,1,1,1967,1967
Franco Savorgnan,1,12,1,1,1950,1950
Octavio Cabello,1,2,1,1,1956,1956
D. E C Eversley,1,9,1,1,1957,1957
Vladimir Srb,1,4,1,1,1962,1962
Flann Campbell,1,20,1,1,1960,1960
M. Gottlieb,1,4,1,1,1949,1949
Mizánur M. Rahman,1,72,1,1,2008,2008
Hassan Eini-Zinab,1,4,1,1,2013,2013
Matthias Leuchter,1,14,1,1,2017,2017
Nicholas W. Townsend,1,34,1,1,2002,2002
Heather Joshi,1,21,1,1,2006,2006
José Manuel Aburto,1,4,1,1,2020,2020
Faujdar Ram,1,29,1,1,2011,2011
Søren Kjærgaard,1,4,1,1,2017,2017
John Rogers,1,26,1,1,2005,2005
Paul K C Liu,1,7,1,1,1967,1967
John McDonald,1,7,1,1,1997,1997
T. H. Sun,1,10,1,1,1963,1963
Daniel Benoit,1,10,1,1,1976,1976
Paul P.L. Cheung,1,3,1,1,1988,1988
Jaemo Yang,1,5,1,1,1965,1965
Jessica Polos,1,2,1,1,2019,2019
Mangap Lee,1,5,1,1,1965,1965
Roger V. Clements,1,12,1,1,1955,1955
,1,14,1,1,1988,1988
Myung-ho Kim,1,5,1,1,1965,1965
Chuang Ying-Chang,1,5,1,1,1994,1994
Ta Chen,1,2,1,1,1948,1948
Liang Zhiwu,1,46,1,1,1994,1994
Elsa S. Turner,1,20,1,1,1965,1965
S. J. Kilpatrick,1,29,1,1,1962,1962
Laurence Whitehead,1,9,1,1,1968,1968
Robert Gutman,1,6,1,1,1956,1956
Y. Takeshita,1,10,1,1,1963,1963
J. N. Sinha,1,3,1,1,1957,1957
Ruchi Chou,1,4,1,1,1968,1968
Peter Mazur,1,5,1,1,1968,1968
G. William Skinner,1,2,1,1,1951,1951
F. D’arcy,1,18,1,1,1977,1977
A. Ghosh,1,1,1,1,1956,1956
C. M. Cipolla,1,4,1,1,1978,1978
Maurice Kirk,1,1,1,1,1991,1991
Charles F. Westof,1,13,1,1,1980,1980
Feinian Chen,1,8,1,1,2009,2009
A. K M Alauddin Chowdhuryt,1,10,1,1,1980,1980
O. Adegbola,1,7,1,1,1977,1977
Liu Li,1,46,1,1,1994,1994
A. K M Alauddinchowdhury,1,12,1,1,1980,1980
Shuimeng Ng,1,10,1,1,1982,1982
Ehn Hyun Choe,1,3,1,1,1982,1982
Yuan Y. Tien,1,35,1,1,1984,1984
Sig J. Prais,1,20,1,1,1955,1955
James Leer,1,48,1,1,1995,1995
Bert F. Hoselitz,1,2,1,1,1957,1957
Jane Falkingham,1,4,1,1,1991,1991
Keith Hopkins,1,96,1,1,1966,1966
M. Massagli,1,17,1,1,1984,1984
B. Casterline,1,23,1,1,1985,1985
D. Byerlee,1,4,1,1,1981,1981
Tom Warnke,1,9,1,1,2017,2017
Margaret Triyana,1,1,1,1,2016,2016
Han Lin Shang,1,5,1,1,2015,2015
Mary E. Cookingham,1,18,1,1,1984,1984
Nan E. Johnsoni,1,16,1,1,1985,1985
Florentina Reyes Salvail,1,54,1,1,1983,1983
D. Shapirot,1,21,1,1,1983,1983
Barbara Janowltz,1,23,1,1,1984,1984
Luca Stella,1,6,1,1,2019,2019
Grace Wyshak,1,11,1,1,2004,2004
Daniel Kraushaar,1,14,1,1,1992,1992
R. D. Turner,1,134,1,1,1975,1975
Júlia Mikolai,1,12,1,1,2018,2018
C. Nørregaard,1,2,1,1,1975,1975
Joyce Bellamy,1,2,1,1,1953,1953
Germán Rodriguezt,1,25,1,1,1988,1988
Vicente B. Paqueo,1,6,1,1,1988,1988
E. Bromberger,1,3,1,1,1948,1948
G. M. Jovellanos,1,22,1,1,1968,1968
Ian Timaeæust,1,14,1,1,1991,1991
John C. Caldwellt,1,59,1,1,1992,1992
P. Ramachandrant,1,25,1,1,1982,1982
R. D. Retherfordt,1,15,1,1,1982,1982
R. Repettot,1,8,1,1,1982,1982
Mauri Nieminent,1,9,1,1,1991,1991
A. Fishert,1,6,1,1,1982,1982
W. Stys,1,34,1,1,1957,1957
,1,15,1,1,1992,1992
Etienne Van de Walle,1,42,1,1,1989,1989
Bowman A. Jannetta,1,32,1,1,1991,1991
L. Braithwaite,1,4,1,1,1961,1961
Grazyna Jasielqska,1,88,1,1,1993,1993
C. Speare Mary,1,5,1,1,1973,1973
K. J. Pitkanent,1,12,1,1,1989,1989
Maria Sophia Lengyel Cook,1,8,1,1,1982,1982
J. Stoeckelt,1,6,1,1,1982,1982
,1,14,1,1,1988,1988
Ting Li,1,8,1,1,2015,2015
Christian Dudel,1,2,1,1,2019,2019
M. Kauppinen,1,6,1,1,1971,1971
W. G. Varnes,1,10,1,1,1971,1971
Jihong Liu,1,11,1,1,2004,2004
E. Hazel Denton,1,6,1,1,1979,1979
Louise Kantrowt,1,12,1,1,1980,1980
Susan Scott,1,16,1,1,2000,2000
Mieke Carine Wim Eeckhaut,1,7,1,1,2016,2016
James P. McIntosh,1,9,1,1,1980,1980
Nigel Crook,1,4,1,1,1996,1996
Tuija P. Martelin,1,86,1,1,2005,2005
P. J. Koblenzer,1,2,1,1,1960,1960
Byron G. Spencer,1,5,1,1,1974,1974
John E. Murray,1,3,1,1,2001,2001
S. K. Jain,1,1,1,1,1982,1982
