fullname,Papers,Cites,H-Index,HM-Index,First,Last
Daniel C. Clay,2,56,2,2,1992,1993
Janet D. Griffith,2,55,2,2,1984,1985
Martin Bell,2,65,2,2,2000,2014
James Allman,2,18,2,2,1978,1979
Anatole Romaniuk,2,66,2,2,1973,1980
Mark J. VanLandingham,2,76,2,2,1992,2001
Bertrand Desjardins,2,52,2,2,1990,1995
Rachel M. Pierce,2,24,2,2,1961,1961
Abdelmegid M. Farrag,2,15,2,2,1959,1964
Jacques Légaré,2,55,2,2,1990,1997
Gerḿan Rodríguez,2,103,2,2,1988,1992
Y. C. Yu,2,9,2,2,1978,1979
Nicky Hart,2,87,2,2,1993,1998
Peter Anthony Lachenbruch,2,25,2,2,1967,1968
Elizabeth Thomson,2,73,2,2,1999,2011
Roger S. Schofield,2,131,2,2,1971,1983
Helen P. Koo,2,55,2,2,1984,1985
Torkild Hovde Lyngstad,2,16,2,2,2009,2018
Arland D. Thornton,2,38,2,2,1977,2012
Les D. Mayhew,2,15,2,2,2013,2015
Irene Barnes Taeuber,2,15,2,2,1947,1960
Robert V. Wells,2,67,2,2,1971,1992
Jean Marie Robine,2,80,2,2,2006,2007
Massimo Livi Bacci,2,62,2,2,1968,1968
Michael S. Teitelbaum,2,27,2,2,1974,2015
B. Benjamin,2,12,2,2,1964,1964
Ruth B. Dixon,2,184,2,2,1971,1978
Alice Goldstein,2,80,2,2,1981,1997
Charles Wick Warren,2,25,2,2,1988,1992
Jackie Li,2,43,2,2,2013,2016
Michael J. White,2,61,2,2,1999,2006
Norman B. Ryder,2,16,2,2,1984,1985
Elizabeth Frankenberg,2,90,2,2,2002,2005
John E. Stoeckel,2,30,2,2,1972,1980
Violetta Hionidou,2,35,2,2,1998,2002
Guido Alfani,2,25,2,2,2010,2019
T. James Trussell,2,87,2,2,1974,1975
David Smith,2,15,2,2,2013,2015
Joseph Chamie,2,53,2,2,1977,1986
Helga A.G. De Valk,2,31,2,2,2007,2017
Carl Paul Schmertmann,2,19,2,2,1992,2013
Clyde H. Coombs,2,74,2,2,1975,1975
S. Philip Morgan,2,165,2,2,1993,1996
Anne Retel-Laurentin,2,14,2,2,1976,1981
Derek F.M. Roberts,2,25,2,2,1959,1971
Martin Piotrowski,2,26,2,2,2007,2012
Mark Spoerer,2,21,2,2,2002,2006
El Sayed E. Nour,2,7,2,2,1983,1984
Kia I. Reinis,2,23,2,2,1992,1994
Anthony T. Flegg,2,141,2,2,1979,1982
Anne R. Pebley,2,23,2,2,1981,1985
S. Ahmed,2,30,2,2,2001,2008
Enid J. Schatz,2,31,2,2,2009,2012
Patrick Lusyne,2,30,2,2,2001,2008
Gunnar Andersson,2,102,2,2,2005,2007
Peter R. Uhlenberg,2,71,2,2,1969,1995
J. R. Rele,2,9,2,2,1962,1974
Scott T. Yabiku,2,97,2,2,2005,2010
Philip Howell Rees,2,40,2,2,2000,2014
Gösta Carlsson,2,149,2,2,1966,1970
Elina K. Nihtilä,2,110,2,2,2005,2007
Oiva Turpeinen,2,41,2,2,1978,1979
Timothy W. Guinnane,2,82,2,2,1991,2002
John A. Hostetler,2,45,2,2,1966,1979
Dharmalingam Arunachalam,2,99,2,2,1993,1996
Ronald P. Dore,2,13,2,2,1953,1959
Shige Song,2,31,2,2,2008,2013
John Peel,2,40,2,2,1963,1964
Victoria Hosegood,2,93,2,2,2007,2010
Allan Schnaiberg,2,18,2,2,1973,1974
A. M. Henderson,2,21,2,2,1949,1950
Paola Di Giulio,2,111,2,2,2011,2012
Elise F. Jones,2,20,2,2,1981,1982
J. Timothy Johnson,2,25,2,2,1988,1992
Vincent Heath Whitney,2,4,2,2,1976,1976
Zvi Eisenbach,2,46,2,2,1979,2002
