fullname,Papers,Cites,H-Index,First,Last
John G.C. Blacker,3,45,2,2003,2007
Jeanne S. Newman,1,45,1,1976,1976
Elizabeth Colson,1,45,1,1995,1995
James Lee,1,45,1,1995,1995
Gertrude E. Huntington,2,45,2,1966,1979
Narindar U. Kelly,1,45,1,1976,1976
John A. Hostetler,2,45,2,1966,1979
Liesbeth Steenhof,1,45,1,2008,2008
Linda Meyers,1,45,1,1985,1985
Thayer Scudder,1,45,1,1995,1995
Richard Wall,1,45,1,1989,1989
Peter R. Mason,1,44,1,2003,2003
Georgia Verropoulou,3,44,2,2010,2019
Fjalar S.A. Finnäs,4,44,3,1991,2018
Nicola Terceira,1,44,1,2003,2003
Peter J. Donaldson,4,44,3,1978,2002
William R. Lavely,2,44,2,1988,2001
Monique Borgerhoff Mulder,1,44,1,1989,1989
Elizabeth Overton,1,43,1,1985,1985
Lincoln H. Day,2,43,2,1965,1968
Philip Kreager,3,43,3,1988,2015
Jackie Li,2,43,2,2013,2016
Ferdinando Regalia,1,43,1,2007,2007
Jessica Erin Todd,1,43,1,2007,2007
Lokky Wai,1,42,1,1990,1990
Bidhubhusan Mahapatra,1,42,1,2012,2012
Abhishek Singh,1,42,1,2012,2012
Flávia Cristina Drumond Andrade,1,42,1,2004,2004
Flávia Cristina,1,42,1,2004,2004
Nurul Hoque Alam,1,42,1,1990,1990
José Alberto Magno de Carvalho,1,42,1,2004,2004
Charles H. Wood,1,42,1,2004,2004
Etienne Van de Walle,1,42,1,1989,1989
Aude Bernard,2,42,2,2014,2017
Zhongwei Zhao,4,42,3,1994,2004
Oiva Turpeinen,2,41,2,1978,1979
Karsten Hank,1,41,1,2010,2010
Francesco Scalone,3,41,3,2014,2017
Tim P. Dyson,1,41,1,1991,1991
Alain Monnier,1,40,1,1989,1989
Wendy Post,1,40,1,1997,1997
Ellen Kruse,1,40,1,1997,1997
Philip Howell Rees,2,40,2,2000,2014
Evgeny M. Andreev,2,40,2,2004,2011
John Peel,2,40,2,1963,1964
Jim E. Oeppen,2,40,2,1993,2019
Brendan M. Walsh,2,40,2,1970,1995
Martin Kolk,3,40,2,2014,2020
Karla Oosterveen,1,39,1,1973,1973
Philip Verwimp,1,39,1,2004,2004
Thomas A. Mroz,1,39,1,1990,1990
Douglas A. Wolf,1,38,1,2011,2011
Francine van de Walle,2,38,2,1975,1989
Eric de Cooman,1,38,1,1987,1987
Sanna L. Read,2,38,1,2011,2020
Mary F. Hollingsworth,1,38,1,1971,1971
Arland D. Thornton,2,38,2,1977,2012
Kathryn Mary Yount,3,38,3,2004,2010
Marwan K. Khawaja,1,38,1,2000,2000
Michael C. Kimmitt,1,37,1,2008,2008
Renata T. Forste,1,37,1,1994,1994
Alexander L. Clark,1,37,1,1964,1964
Porntip Sriwatcharin,1,37,1,1999,1999
Rossarin Soottipong Gray,1,37,1,1999,1999
Paul Wallin,1,37,1,1964,1964
Duncan Thomas,1,37,1,2005,2005
Timothy J. Halliday,1,37,1,2008,2008
Alan Gray,3,37,2,1986,1989
Sara Peracca,1,37,1,1999,1999
Susan H. Jayne,1,37,1,1997,1997
Wayan Suriastini,1,37,1,2005,2005
Thomas William Valente,1,36,1,2005,2005
Sajeda Amin,2,36,2,1998,2004
Zhenming Xie,1,36,1,2007,2007
John E. Gordon,1,36,1,1965,1965
James Franklin Phillips,1,36,1,1996,1996
Hongyan Liu,1,36,1,2007,2007
Thomas K. LeGrand,1,36,1,1996,1996
Otis Dudley Duncan,1,36,1,1957,1957
Ann E. Biddlecom,1,36,1,2005,2005
Margaret P. Parker,1,36,1,1965,1965
John B. Wyon,1,36,1,1965,1965
Ann Klimas Blanc,2,35,2,2017,2019
Yuan Y. Tien,1,35,1,1984,1984
Donald J. Morse,2,35,2,1993,1993
Katherine L. Bourne,1,35,1,1991,1991
George M. Walker,1,35,1,1991,1991
Julia A. Ericksen,2,35,1,1979,1980
Norman Y. Luther,2,35,2,1988,1990
Violetta Hionidou,2,35,2,1998,2002
Eugene P. Ericksen,1,35,1,1979,1979
David Goldberg,1,35,1,1959,1959
Alauddin K.M. Chowdhury,1,34,1,1986,1986
Baron L. Moots,1,34,1,1978,1978
Stephen Meir Tollman,1,34,1,2002,2002
Nicholas W. Townsend,1,34,1,2002,2002
Cormac Ó. Gráda,1,34,1,1995,1995
Philip C. Sagi,3,34,3,1961,1962
Kathleen Kahn,1,34,1,2002,2002
Marcus Blake,1,34,1,2000,2000
Oliver Duke-Williams,1,34,1,2000,2000
Phillip R. Kunz,2,34,2,1974,1976
Fengyu Zhang,1,34,1,2004,2004
Mary Beth Weinberger,1,34,1,1978,1978
Clyde V. Kiser,2,33,2,1953,1956
Sofi Ohlsson-Wijk,1,33,1,2011,2011
Alicia Menendez,1,33,1,2011,2011
Carine Ronsmans,1,33,1,1995,1995
Weiguo Zhang,1,33,1,2000,2000
Roger C. Avery,1,33,1,1982,1982
Graziella Caselli,2,33,2,2006,2011
Alice Reid,2,33,2,2002,2020
Susheela D. Singh,3,32,2,1979,1985
Tomas Frejka,3,32,2,1968,2005
John S. Akin,2,32,2,1986,1988
Ronald R. Rindfuss,3,32,3,1988,2012
Charles A. Calhoun,1,32,1,1988,1988
Barry Michael Popkin,2,32,2,1986,1988
Bowman A. Jannetta,1,32,1,1991,1991
William Sander,1,32,1,1992,1992
François Nault,1,32,1,1990,1990
Ruud Luijkx,1,31,1,2005,2005
Elin Charles-Edwards,1,31,1,2014,2014
Katia Begall,1,31,1,2010,2010
Shige Song,2,31,2,2008,2013
Janet W. Salaff,3,31,3,1972,1976
Riccårdo Capocaccia,1,31,1,1989,1989
Enid J. Schatz,2,31,2,2009,2012
Atiqur Rahman Khan,1,31,1,1976,1976
James N. Gribble,1,31,1,1993,1993
J. William Leasure,1,31,1,1963,1963
Cheryl Elman,1,31,1,1995,1995
Cécile de Sweemer,1,31,1,1984,1984
Jeanne Clare Ridley,1,31,1,1966,1966
Helga A.G. De Valk,2,31,2,2007,2017
Lee Jay Cho,2,31,2,1978,1988
Graziella Caselli,1,31,1,1989,1989
Patricia H. David,1,31,1,1996,1996
Catherine Panter-Brick,1,30,1,1996,1996
Andrea Tyree,1,30,1,1973,1973
John E. Stoeckel,2,30,2,1972,1980
Guido Pinto Aguirre,2,29,2,1996,1998
Zhenchao Qian,1,29,1,1997,1997
Faujdar Ram,1,29,1,2011,2011
Sara Hertog,1,29,1,2006,2006
Michael A. Stoto,2,29,2,1988,1990
Jing Li,1,29,1,2006,2006
Toni Richards,1,29,1,1977,1977
Nan E. Johnson,1,29,1,1992,1992
Nan Li,2,29,2,1999,2003
Domantas Jasilionis,1,29,1,2011,2011
Nandita Saikia,1,29,1,2011,2011
Avraham Y. Ebenstein,3,29,3,2013,2015
Anne Emmanuèle Calvès,1,29,1,1999,1999
M. Giovanna Merli,1,29,1,2006,2006
Bo Wang,1,29,1,2006,2006
Kenya Valéria Micaela De Souza Noronha,1,28,1,2009,2009
Dallas F S Fernando,2,28,2,1972,1975
Malena Monteverde,1,28,1,2009,2009
John Fulton,1,28,1,1976,1976
George T. Curlin,1,28,1,1976,1976
Nancy Grey Osterud,1,28,1,1976,1976
Gerry Redmond,1,28,1,2005,2005
Verne E. Nelson,1,28,1,1974,1974
Yao Lu,1,28,1,2010,2010
Romana Peronaci,1,28,1,2000,2000
Nicoletta Balbo,1,28,1,2011,2011
Hugh Davies,1,28,1,2000,2000
Nadezhda Aleshina,1,28,1,2005,2005
James E. Smith,1,28,1,1976,1976
Sayed Babur Hussain,1,28,1,1976,1976
Steve Smallwood,1,27,1,2010,2010
Gavin W. Jones,2,27,2,1977,1980
Encarnacion Aracil,1,27,1,2010,2010
Marit Rönsen,1,27,1,2010,2010
Charles Hirschman,1,27,1,2001,2001
Timothy B. Gage,2,27,2,1986,1993
John W. Budd,1,27,1,1991,1991
Isabelle Attané,1,27,1,2009,2009
Michael S. Rendall,1,27,1,2010,2010
William Brass,1,27,1,1996,1996
Christos Bagavos,1,27,1,2010,2010
Isabelle Robert-Bobée,1,27,1,2010,2010
Susan de Vos,1,27,1,1987,1987
